,id,text,name,screen_name,description,user_id,is_quote,lang
24,1333799448250515456,"📽 @PabloIglesias: ""Destinaremos 10 millones de euros a Canarias, y 4,1 y 2,3 millones a Ceuta y Melilla para mejorar la atención de los niños y niñas y adolescentes que se han visto en la obligación migrar.

Seguiremos trabajando en el estricto respeto de los derechos humanos”. https://t.co/snGV1kXR6W",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
25,1333791245932498947,"📽️ @Yolanda_Diaz_: ""Lo que traemos hoy a esta cámara es una propuesta de futuro. El fruto de un esfuerzo mancomunado y colectivo. No son unas simples cuentas, sino el diseño certero y solidario de los cimientos sobre los que vamos a crecer"". https://t.co/G5A1arthP4",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
26,1333790828137828358,"Como ministerio competente en materia de infancia, impulsamos la aprobación en el #CMin la concesión de 10 millones de euros a Canarias para la atención, acogida y protección de los niños, niñas y adolescentes que migran solos. https://t.co/DgwAWuxNDd",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
27,1333784605959221250,"García Egea dice que prefiere que no se renueve el CGPJ, antes que aceptar que UP participe en la renovación. Es como si, tras 4 años, nosotros dijéramos que preferimos no convocar elecciones para que no participen partidos de derechas 🤷🏽‍♂️

Frente a su bloqueo solo hay una salida https://t.co/881bV0rU5S",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
28,1333780642677497856,"Sin acabar.
Sin personal sanitario.
Sin quirófanos.
Con sobrecostes de más del doble de lo previsto.
Más pequeño que IFEMA.

Así es el Hospital Zendal de Ayuso.🤦‍♀️ https://t.co/PziaMdvqSy",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
29,1333779463885217792,🔴 NOTICIÓN!!! Hemos conseguido 230 millones de euros de los Fondos Europeos para luchar contra el #CambioClimático y acelerar la transición energética de nuestras islas. 💜 https://t.co/jLrWwQLq8E,PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
30,1333779429579866113,"""Non se entende que unha forza progresista-nacionalista vaia votar non a uns orzamentos que:

✅ Baixan as peaxes da AP-9.
✅ Rexeneran a rías galegas.
✅ Suben as pensións a 800.000 galegos/as.
✅ Equiparan os permisos parentais.
✅ Aumentan as bolsas.""

🎥 @AntonGomezReino. https://t.co/qjjPyvniNd",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
31,1333767961673412610,Canarias no está sola en las tareas de atención y acogida de los menores que migran solos: desde la @VSocialGob impulsamos una ayuda urgente de 10 millones de euros para la atención de estos niños y niñas. Hoy visitamos las islas para conocer de primera mano su situación social. https://t.co/p8hyz30Upi,PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
32,1333763058481631234,"📽 @MayoralRafa: “Estos #presUPuestos son un paso muy importante en la salida de la senda neoliberal. No son el final del camino, son el principio”. https://t.co/iWezvPRwTA",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
33,1333733833909342208,"Madrid elimina los fondos para entidades que luchan por los derechos LGTBI, la prevención del VIH y erradicar cualquier tipo de LGTBIfobia.

Asociaciones con décadas de compromiso que PP y Cs, a las órdenes de VOX, quieren dejar de apoyar.

Queda claro quién marca el rumbo. https://t.co/FS5E0vceDA",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
